DATE,BRWA53M647NCEN
1981-01-01,271948.916666666667
1982-01-01,291119.750000000000
1983-01-01,289512.416666666667
1984-01-01,277754.583333333333
1985-01-01,283317.333333333333
1986-01-01,297939.083333333333
1987-01-01,303314.666666666667
1988-01-01,310303.250000000000
1989-01-01,325050.166666666667
1990-01-01,347684.916666666667
1991-01-01,399119.500000000000
1992-01-01,440382.000000000000
1993-01-01,463946.166666666667
1994-01-01,471908.333333333333
1995-01-01,474973.083333333333
1996-01-01,483746.583333333333
1997-01-01,423605.583333333333
1998-01-01,349114.583333333333
1999-01-01,298096.750000000000
2000-01-01,297004.083333333333
2001-01-01,317494.416666666667
2002-01-01,361752.083333333333
2003-01-01,417514.333333333333
2004-01-01,467392.250000000000
2005-01-01,518407.583333333333
2006-01-01,538152.833333333333
2007-01-01,539157.416666666667
2008-01-01,600169.000000000000
2009-01-01,820915.833333333333
2010-01-01,981085.833333333333
2011-01-01,1073487.583333333333
2012-01-01,1111529.333333333333
2013-01-01,1109341.583333333333
2014-01-01,1092073.916666666667
2015-01-01,1055460.333333333333
2016-01-01,988778.916666666667
2017-01-01,915760.916666666667
2018-01-01,864784.166666666667
2019-01-01,813505.250000000000
2020-01-01,907106.166666666667
2021-01-01,.
