DATE,MEHOINUSWAA672N
1984-01-01,62308
1985-01-01,57791
1986-01-01,63615
1987-01-01,62502
1988-01-01,71381
1989-01-01,67616
1990-01-01,64743
1991-01-01,66085
1992-01-01,64349
1993-01-01,66016
1994-01-01,60817
1995-01-01,62990
1996-01-01,63267
1997-01-01,75244
1998-01-01,79002
1999-01-01,74177
2000-01-01,67092
2001-01-01,65181
2002-01-01,68236
2003-01-01,70154
2004-01-01,71780
2005-01-01,70435
2006-01-01,73715
2007-01-01,76080
2008-01-01,71438
2009-01-01,76448
2010-01-01,69941
2011-01-01,68633
2012-01-01,73519
2013-01-01,74467
2014-01-01,67666
2015-01-01,76899
2016-01-01,79382
2017-01-01,79071
2018-01-01,86021
2019-01-01,87381
2020-01-01,85157
2021-01-01,87648
