,WHITE,MINORITY,CPI,IP,UNRATE
1976,9076100,1690800,56.933333,44.36233333,7.7
1980,9833000,1948800,82.38333333,50.52263333,7.7
1984,9814700,2083800,103.9333333,54.28055833,7.508333333
1988,10283200,2398800,118.275,61.42678333,5.491666667
1990,10722500,2704700,130.6583333,62.608725,5.616666667
1991,10989800,2952800,136.1666667,61.69373333,6.85
1992,10874800,3163800,140.3083333,63.48351667,7.491666667
1993,10603700,3245100,144.475,65.57134167,6.908333333
1994,10427000,3395900,148.225,69.03225,6.1
1995,10311200,3496200,152.3833333,72.22433333,5.591666667
1996,10263900,3637400,156.8583333,75.51229167,5.408333333
1997,10266100,3771200,160.525,80.91564167,4.941666667
1998,10178800,3884700,163.0083333,85.65468333,4.5
1999,10282100,4020700,166.5833333,89.42953333,4.216666667
2000,10462100,4321500,172.1916667,92.872125,3.966666667
2001,10774500,4588200,177.0416667,89.950075,4.741666667
2002,11140200,4880500,179.8666667,90.21053333,5.783333333
2003,11275400,5033200,184,91.36985833,5.991666667
2004,11422800,5259100,188.9083333,93.79515833,5.541666667
2005,11495400,5407200,195.2666667,96.937825,5.083333333
2006,11572400,5590600,201.5583333,99.10054167,4.608333333
2007,11756200,5867400,207.3441667,101.6508667,4.616666667
2008,12088800,6353500,215.25425,98.138825,5.8
2009,12730800,7012100,214.5646667,86.89948333,9.283333333
2010,12722500,7584000,218.0761667,91.71810833,9.608333333
2011,12401900,7868200,224.923,94.55475833,8.933333333
2012,11981100,7878800,229.5860833,97.38005833,8.075
2013,11590700,7944800,232.95175,99.33994167,7.358333333
2014,11239300,8052000,236.715,102.333425,6.158333333
2015,10939200,8066700,237.00175,100.8890667,5.275
2016,10812900,8130100,240.0054167,98.67789167,4.875
2017,10939200,8260800,245.121,100,4.358333333
2018,10301300,8352600,251.0989167,103.1808583,3.891666667
2019,10141700,8356300,254.6465,102.342777,3.675
