"Table 306.10. Total fall enrollment in degree-granting postsecondary institutions, by level of enrollment, sex, attendance status, and race/ethnicity or nonresident alien status of student: Selected
              years, 1976 through 2018",,,,,,,,,,,,,,,,,,,,,,
"Level of enrollment, sex, attendance status, and race/ethnicity or nonresident alien status of student",Fall enrollment (in thousands),,,,,,,,,,,Percentage distribution of U.S. resident students (excludes nonresident aliens),,,,,,,,,,
,1976,1980,1990,2000,2010,2013,2014,2015,2016,2017,2018,1976,1980,1990,2000,2010,2013,2014,2015,2016,2017,2018
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"     All students, total .......................","10,985.6","12,086.8","13,818.6","15,312.3","21,019.4","20,376.7","20,209.1","19,988.2","19,846.9","19,778.2","19,645.9",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
White ...............................................,"9,076.1","9,833.0","10,722.5","10,462.1","12,720.8","11,589.4","11,239.3","10,939.2","10,716.6","10,517.4","10,301.3",84.3,83.5,79.9,70.8,62.6,59.3,58.3,57.6,56.9,56.0,55.2
"Total, selected 
   races/ethnicities ......","1,690.8","1,948.8","2,704.7","4,321.5","7,591.0","7,947.1","8,052.0","8,066.7","8,132.2","8,260.8","8,352.6",15.7,16.5,20.1,29.2,37.4,40.7,41.7,42.4,43.1,44.0,44.8
  Black ................................................,"1,033.0","1,106.8","1,247.0","1,730.3","3,039.0","2,872.0","2,792.8","2,681.0","2,589.4","2,549.5","2,493.3",9.6,9.4,9.3,11.7,15.0,14.7,14.5,14.1,13.7,13.6,13.4
  Hispanic ........................................,383.8,471.7,782.4,"1,461.8","2,748.8","3,093.2","3,191.9","3,297.7","3,428.0","3,546.0","3,645.0",3.6,4.0,5.8,9.9,13.5,15.8,16.5,17.4,18.2,18.9,19.5
  Asian/Pacific Islander ........................,197.9,286.4,572.4,978.2,"1,281.6","1,259.7","1,272.2","1,284.3","1,306.7","1,327.8","1,352.6",1.8,2.4,4.3,6.6,6.3,6.4,6.6,6.8,6.9,7.1,7.3
    Asian ...................................,---,---,---,---,"1,217.6","1,198.7","1,213.8","1,229.0","1,253.5","1,275.7","1,302.1",---,---,---,---,6.0,6.1,6.3,6.5,6.7,6.8,7.0
    Pacific Islander ........................,---,---,---,---,64.0,61.0,58.5,55.3,53.2,52.0,50.5,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"  American Indian/Alaska 
     Native ...............",76.1,83.9,102.8,151.2,196.2,162.2,152.9,146.1,142.3,137.5,133.8,0.7,0.7,0.8,1.0,1.0,0.8,0.8,0.8,0.8,0.7,0.7
  Two or more races ........................,---,---,---,---,325.4,560.0,642.2,657.6,665.8,700.1,727.9,---,---,---,---,1.6,2.9,3.3,3.5,3.5,3.7,3.9
Nonresident alien\1\ .................................,218.7,305.0,391.5,528.7,707.7,840.2,917.8,982.3,998.1,"1,000.0",992.1,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Male .....................................,"5,794.4","5,868.1","6,283.9","6,721.8","9,045.8","8,861.2","8,797.5","8,723.8","8,638.4","8,571.3","8,442.7",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White .................................................,"4,813.7","4,772.9","4,861.0","4,634.6","5,605.8","5,132.4","4,974.3","4,848.5","4,736.1","4,632.2","4,500.5",85.3,84.4,80.5,72.1,64.7,61.1,60.0,59.3,58.6,57.8,57.0
"  Total, selected 
     races/ethnicities ....",826.6,884.4,"1,176.6","1,789.8","3,060.3","3,268.7","3,313.4","3,326.8","3,346.7","3,387.5","3,399.3",14.7,15.6,19.5,27.9,35.3,38.9,40.0,40.7,41.4,42.2,43.0
    Black .............................................,469.9,463.7,484.7,635.3,"1,089.0","1,064.9","1,035.1",998.9,959.5,942.0,909.7,8.3,8.2,8.0,9.9,12.6,12.7,12.5,12.2,11.9,11.7,11.5
    Hispanic ........................................,209.7,231.6,353.9,627.1,"1,157.6","1,307.7","1,348.2","1,389.2","1,439.3","1,479.0","1,507.6",3.7,4.1,5.9,9.8,13.4,15.6,16.3,17.0,17.8,18.4,19.1
    Asian/Pacific Islander ........................,108.4,151.3,294.9,465.9,600.6,594.3,599.1,602.9,610.1,617.3,625.6,1.9,2.7,4.9,7.3,6.9,7.1,7.2,7.4,7.5,7.7,7.9
      Asian ...................................,---,---,---,---,572.1,567.1,573.0,577.8,586.4,594.0,603.3,---,---,---,---,6.6,6.8,6.9,7.1,7.3,7.4,7.6
      Pacific Islander ........................,---,---,---,---,28.5,27.2,26.1,25.1,23.7,23.3,22.2,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"    American Indian/Alaska 
       Native .............",38.5,37.8,43.1,61.4,78.7,64.7,61.3,58.2,56.3,53.7,51.6,0.7,0.7,0.7,1.0,0.9,0.8,0.7,0.7,0.7,0.7,0.7
    Two or more races ........................,---,---,---,---,134.4,237.1,269.7,277.6,281.7,295.5,304.8,---,---,---,---,1.6,2.8,3.3,3.4,3.5,3.7,3.9
  Nonresident alien\1\ .................................,154.1,210.8,246.3,297.3,379.6,460.1,509.9,548.6,555.6,551.6,543.0,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Female .....................................,"5,191.2","6,218.7","7,534.7","8,590.5","11,973.7","11,515.5","11,411.6","11,264.4","11,208.5","11,206.8","11,203.3",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White ............................................,"4,262.4","5,060.1","5,861.5","5,827.5","7,115.0","6,457.0","6,265.0","6,090.7","5,980.5","5,885.2","5,800.8",83.1,82.6,79.3,69.7,61.1,58.0,56.9,56.2,55.6,54.7,53.9
"  Total, selected 
     races/ethnicities ....",864.2,"1,064.4","1,528.1","2,531.7","4,530.7","4,678.4","4,738.6","4,739.9","4,785.4","4,873.2","4,953.3",16.9,17.4,20.7,30.3,38.9,42.0,43.1,43.8,44.4,45.3,46.1
    Black ............................................,563.1,643.0,762.3,"1,095.0","1,949.9","1,807.1","1,757.7","1,682.1","1,630.0","1,607.5","1,583.6",11.0,10.5,10.3,13.1,16.7,16.2,16.0,15.5,15.1,14.9,14.7
    Hispanic ........................................,174.1,240.1,428.5,834.7,"1,591.2","1,785.5","1,843.7","1,908.5","1,988.7","2,067.0","2,137.4",3.4,3.9,5.8,10.0,13.7,16.0,16.8,17.6,18.5,19.2,19.9
    Asian/Pacific Islander ........................,89.4,135.2,277.5,512.3,681.0,665.4,673.1,681.5,696.6,710.5,727.0,1.7,2.2,3.8,6.1,5.8,6.0,6.1,6.3,6.5,6.6,6.8
      Asian ...................................,---,---,---,---,645.5,631.6,640.7,651.3,667.1,681.7,698.8,---,---,---,---,5.5,5.7,5.8,6.0,6.2,6.3,6.5
      Pacific Islander ........................,---,---,---,---,35.5,33.7,32.4,30.2,29.5,28.7,28.3,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
