State_Number,State,Year,GDP,GDP_mining,Mining,GDP_agriculture,Agriculture,GDP_construction,Construction,GDP_manufacturing,Manufacturing,PCE,Personal Income,High School,Bachelor's,Poverty Rate
1,Colorado,2005,251558.4,13628.4,5.4176,2099.0,0.8344,15895.6,6.32,17117.5,6.8,148249.8,37797,87,34,10.9
1,Colorado,2006,257430.2,14729.0,5.7216,1959.7,0.7613,15297.7,5.94,18809.4,7.3,157358.1,40137,88.0,34.3,11.6
1,Colorado,2007,266887.5,14222.7,5.3291,2473.4,0.9268,14890.2,5.58,20360.9,7.6,166609.7,42074,88.9,35.0,11.5
1,Colorado,2008,270981.4,15066.7,5.5600,2156.4,0.7958,14103.4,5.20,20741.6,7.7,172477.6,42953,88.9,35.6,11.2
1,Colorado,2009,264966.3,16751.4,6.3221,2022.4,0.7632,11690.9,4.41,20624.3,7.8,170145.4,40093,89.3,35.9,12.6
1,Colorado,2010,267858.9,14804.8,5.5271,2260.2,0.8438,9745.3,3.64,21154.4,7.9,175698.3,40790,89.7,36.4,13.2
1,Colorado,2011,271700.6,14853.5,5.4669,2768.7,1.0190,9759.2,3.59,21247.7,7.8,183822.9,43658,90.2,36.7,13.4
1,Colorado,2012,276823.1,14952.7,5.4015,2546.8,0.9200,10110.6,3.65,20868.7,7.5,189399.1,45630,90.6,37.5,13.6
1,Colorado,2013,286259.1,16131.5,5.6353,2647.2,0.9248,11980.8,4.19,21244.1,7.4,197806.0,47404,90.5,37.8,12.9
1,Colorado,2014,298655.3,20267.4,6.7862,2688.4,0.9002,13429.7,4.50,22144.7,7.4,209174.7,50797,90.5,38.3,12.1
1,Colorado,2015,312409.7,24420.4,7.8168,2743.2,0.8781,14369.1,4.60,22592.2,7.2,221188.9,52339,91.2,39.2,11.5
1,Colorado,2016,318953.4,24766.1,7.7648,2576.6,0.8078,15277.9,4.79,22316.9,7.0,233473.1,52390,91.4,39.9,11.0
1,Colorado,2017,329960.6,25553.7,7.7445,2322.7,0.7039,16181.4,4.90,22297.7,6.8,246598.5,55294,91.6,41.2,10.3
1,Colorado,2018,342535.9,25579.5,7.4677,2430.0,0.7094,17068.8,4.98,23297.6,6.8,259863.6,58471,91.9,41.7,9.7
1,Colorado,2019,356773.6,27564.1,7.7259,2447.7,0.6861,17430.3,4.89,24430.1,6.8,273403.4,61087,92.4,42.7,9.4
1,Colorado,2020,346011.3,24482.0,7.0755,2725.5,0.7877,17094.7,4.94,23701.8,6.9,270883.0,64034,92.7,44.2,9.0
2,Arkansas,2005,105980.0,4557.9,4.3007,4243.8,4.0043,5263.3,4.97,19360.6,18.3,65762.2,23943,80.1,17.9,17.2
2,Arkansas,2006,108460.6,4886.1,4.5050,4212.8,3.8842,4975.2,4.59,20110.4,18.5,69395.4,25948,80.5,18.2,17.3
2,Arkansas,2007,107606.1,5124.9,4.7626,3642.4,3.3849,4708.6,4.38,18230.3,16.9,72798.0,27897,81.1,19.3,17.6
2,Arkansas,2008,106536.5,5667.1,5.3194,3528.9,3.3124,4499.6,4.22,16940.3,15.9,75367.1,29450,82.0,18.8,17.3
2,Arkansas,2009,102996.6,6238.4,6.0569,3377.6,3.2794,4280.0,4.16,14284.9,13.9,74807.9,30123,82.4,18.9,18.5
2,Arkansas,2010,105662.0,5634.1,5.3322,2738.6,2.5919,4218.0,3.99,15548.8,14.7,77758.8,32374,82.9,19.5,18.7
2,Arkansas,2011,107932.5,5536.2,5.1293,2315.5,2.1453,4146.4,3.84,16161.7,15.0,81253.7,34285,83.8,20.3,19.3
2,Arkansas,2012,108492.1,5579.6,5.1429,2568.4,2.3673,4304.6,3.97,15251.1,14.1,83540.4,36582,84.8,21.0,19.6
2,Arkansas,2013,110752.4,6514.5,5.8820,3735.7,3.3730,3759.0,3.39,16495.0,14.9,85290.2,36670,84.4,20.6,19.4
2,Arkansas,2014,111734.5,6275.4,5.6163,3511.3,3.1426,3571.2,3.20,17084.0,15.3,88384.5,38737,85.3,21.4,18.7
2,Arkansas,2015,112351.0,5880.3,5.2339,3432.6,3.0553,3595.1,3.20,16718.7,14.9,91353.2,39960,85.4,21.8,18.7
2,Arkansas,2016,112798.1,5196.9,4.6073,3371.2,2.9887,3665.8,3.25,16655.3,14.8,94391.2,40867,86.0,22.4,17.2
