,date,rating,body,review
0,2023-01-08,5.0,great thing british airway economy section upstairs get allows small stowage cupboard window seat despite old looked tired inside broken side stowage seat reclined uncontrollably slow react ife food supposed christmas dinner wafer thin bit dry turkey cooked sprout cubed potato poor taste quality mousse desert great though slight issue snack meal ordered child option marked regular meal arrived well exactly asked crew member told difference sticker box staff ok couple decent mostly ok overall seems tad cheap day great sit upstairs enjoyment ended seemed bit dull like average airline,Bad
1,2023-01-06,1.0,staff friendly plane cold shivering gave light blanket enough meal basic entertainment basic luggage delayed today day staff phone say call hour tracking system vague extract information staff arrived vancouver jan offered collect baggage vague answer call airport asked phone number yvr said dont phone number call call main airport policy state make claim day,Bad
2,2023-01-02,1.0,probably worst business class experience ive ever airline issue required purchase seat international club world business class made known ticket purchase process cost additional single leg lhrlax family four given strange business class seating layout leaving seat selection change could disastrous family ridiculously long boarding time even small aircraft vielhr leg boarding time minute long leading delayed departure urgency part staff speed boarding time severe overcrowding boarding area satellite c terminal heathrow boarding staff would allow passenger enter roped queue area boarding idea crowding extreme overall boarding area far small believe satellite designed built first delivered online checkin advance flight appears completely broken urged repeatedly website via email text upload covid document even though end covid document required travel filled basic contact information website upload covid documentation informed several hour later covid document verified received another text message urging upload covid documentation vielhr leg shopbacom page one directed attempting connect wifi plane indicated ridiculously incorrect remaining flight time six hour four hour landing lounge club europe club world heathrow often seriously overcrowded furniture carpeting finish club worn dirty said food lounge pretty good quality food quality lounge heathrow may redeeming thing airline onboard food beverage service far average international business class terrible one might say lhrlax leg premeal beverage service midflight beverage service unlike business class offering airline taking meal order flight attendant beginning flight meal brought haphazardly shortly take chicken fish type meal selection similar economy class coffee tea service meal food quality poor prelanding snack ploughman lunch downright disgusting beverage bar setup galley area beverage available passenger flight standard international business class offering even bottle water seemed hidden away requiring one ask flight attendant water wont comment bizarre seating layout others rightly panned awkwardness extremely poor design seating seat long stated website found seat short height priority luggage tag followed baggage delivery,Bad
3,2023-01-02,2.0,definitely recommended especially business class seat ridiculous small food mediocre good luck internet even pay full internet entire flight service however ha great attendant saved cry dont know designed aircraft expensive business class order move middle seat go bathroom must rudely climb person leg sitting aisle seat seat like enclosed tiny cubicle storage space ive unfortunately traveled british airway business class least time within last month never unless choice way business class lounge south heathrow cattle pen,Bad
4,2023-01-02,8.0,shuttle service across uk still surprisingly good product compared long haul doesnt always get best comment time reasonable priced work well fresh crew queue long distance walk dont know still offer covid style bottle water snack stretching cup tea snack would great add service currently line sky cafe fiddly work get connected short trip,Good
5,2023-01-01,6.0,must admit like many others tend avoid long haul possible due many poor review first ride day exception say aircraft immaculate economy seat really comfortable thats ife didnt work wasnt interesting anyway got map screenshot lunch poor quality plenty nice white wine alcoholic drink made cabin crew pleasant poor grooming let skirt trouser suit long sleeve short jacket waistcoat cardigan time could done better think baggage delivery really quick summing well still coming back yet maybe old charm return soon,Bad
6,2022-12-30,4.0,update business class cabin across much travelling facing backwards cabin staff pa food tray across front passenger paying business class fare pay reserve specific seat antiquated idea cabin staff fine food acceptable checkin ok business lounge breakfast acceptable lack space seating area small screen disfunctional entertainment equipment disappointing step reclining passenger foot attractive,Bad
7,2022-12-29,4.0,paid day flight upgrade economy premium economy checkin could find booking little wait rang someone explains upgrade get deleted system checkin agent see took minute resolve seat nice enough stowage pocket front bit small food reasonably nice shame bathroom way back economy bit queue ife system good selection mediocre worst part flight cpt remote stand bussed passport control quickly took absolute age get luggage ruined would otherwise reasonable flight upgrade worth maybe long flight offer whatever premium economy comedy pricing score luggage fiasco would / luggage fiasco cant rate /,Bad
8,2022-12-29,3.0,website work weirdly deleted flight upcoming flight day departure chaos cape town airport hundred queuing computer chaos gate / queue management premium passenger nice new smart new club suite champagne warm cabin crew said impossible serve cold true air france manage disappointing meal wine served late food finished time arrives cheese ice cold tasteless cant champagne / white wine fridge used cheese good ife system mediocre film selection disappointing breakfast overall / flew air france business month way better sad whats become,Bad
9,2022-12-29,1.0,absolutely terrible experience british airway short flight london heathrow frankfurt couldnt get suitcase time next flight cathay pacific melbourne despite hour gap two flight told would arrange suitcase transferred directly melbourne instead got hong kong left finally tracked sent back london happened christmas stressful yet minimal communication team plane crew may lovely service outside ha nothing short dreadful given option avoid flying future,Bad
