Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Household Income,% over 25 completed hs,% below poverty level,Police Killings Yes/No
AL,Abanda CDP,67.2,30.2,0,0,1.6,11207,21.2,78.8,
AL,Abbeville city,54.4,41.4,0.1,1,3.1,25615,69.1,29.1,
AL,Adamsville city,52.3,44.9,0.5,0.3,2.3,42575,78.9,25.5,
AL,Addison town,99.1,0.1,0,0.1,0.4,37083,81.4,30.7,
AL,Akron town,13.2,86.5,0,0,0.3,21667,68.6,42,
AL,Alabaster city,79.4,13.5,0.4,0.9,9,71816,89.3,11.2,
AL,Albertville city,75.9,1.9,0.8,0.5,27.9,32911,72.7,26.7,
AL,Alexander City city,62.2,32,0.2,0.9,4.8,29874,78.1,30.4,
AL,Alexandria CDP,87.4,10.2,0.3,0.5,0.9,56058,88.8,9.7,
AL,Aliceville city,22.6,74.9,0.1,0,1.2,21131,74.3,41.3,
AL,Allgood town,79.6,0.6,0.3,0.6,49.4,42009,48.1,27.7,
AL,Altoona town,95.8,1.7,0.2,0.2,1.1,27566,66.9,27.5,
AL,Andalusia city,70.5,25.9,0.4,1,1.9,31968,81.1,24.5,
AL,Anderson town,97.9,0,0.4,0,0.7,34792,85.7,13.8,
AL,Anniston city,44.7,51.5,0.3,0.8,2.7,29681,79.8,31.7,
AL,Arab city,96.6,0.1,0.6,0.7,1.7,40292,87.6,16.7,
AL,Ardmore town,94.3,1.9,0.8,0.9,1.3,35670,77.7,19.1,
AL,Argo town,94.1,3.6,0.4,0.3,0.5,57212,87.5,8.6,
AL,Ariton town,78.3,19.2,0,0.1,6,24286,71.3,37.6,
AL,Arley town,94.4,0,0.6,0.3,1.4,28750,80.6,31.6,
AL,Ashford town,79,19.5,0.2,0.2,0.8,42704,83.5,18.8,
AL,Ashland town,71.5,24.1,0.3,0.7,5.7,31438,77.9,22.4,
AL,Ashville city,75.8,20.3,0.2,0.3,3.8,40547,77.6,28.3,
AL,Athens city,73,17.5,0.6,0.9,8.8,47542,83.4,13,
AL,Atmore city,40,55.6,1.8,0.3,1.8,26775,73.7,24.7,
AL,Attalla city,81.5,12.7,0.4,0.5,4.7,37191,76,20.3,
AL,Auburn city,75.1,16.5,0.3,5.3,2.9,38342,94.3,31.8,
AL,Autaugaville town,31.3,66.8,0.2,0,0.8,24833,71.2,24.1,
AL,Avon town,94.7,1.8,1.8,0,1.3,40417,82.8,22.2,
AL,Axis CDP,66.8,26.9,3.2,0.1,0.9,55750,79.9,6.8,
AL,Babbie town,96.7,0,0,1.5,0.2,41912,81.2,15.7,
AL,Baileyton town,96.2,0.2,0.5,0,1.5,31875,74.7,28.6,
AL,Bakerhill town,61.6,35.5,0.7,0,1.1,31875,72.4,19.1,
AL,Ballplay CDP,97.5,0.1,0.7,0.3,1,37778,80.3,7.1,
AL,Banks town,69.3,24.6,2.2,0,1.1,28750,73,38.2,
AL,Bay Minette city,60.4,35.3,1,0.8,1.8,31576,79.1,26.3,
AL,Bayou La Batre city,60.3,12.3,0.4,22.8,2.8,34583,58.5,30.1,
AL,Bear Creek town,97.1,0.1,0.7,0.2,1.8,35563,76.7,25.3,
AL,Beatrice town,23.6,76.1,0.3,0,0,18417,89.1,44.9,
AL,Beaverton town,95,5,0,0,1,31875,87.9,8.1,
AL,Belgreen CDP,96.1,0,0,0,3.9,27750,87,28.8,
AL,Belk town,95.8,2.8,0,0.5,0.9,28906,63.8,39.1,
AL,Bellamy CDP,8.3,90.8,0,0.9,1.3,22132,86.5,42.9,
AL,Belle Fontaine CDP,92.3,1.6,0.5,2.3,3.6,34615,91.9,36.7,
AL,Benton town,81.6,18.4,0,0,0,(X),100,0,
AL,Berry town,90.8,7.4,0,0,0.8,25865,65.4,30.9,
AL,Bessemer city,24.3,71.2,0.3,0.2,4.1,29615,81.5,32.9,
AL,Billingsley town,86.1,11.1,2.1,0,0.7,41250,71.3,20.5,
AL,Birmingham city,22.3,73.4,0.2,1,3.6,31061,85.1,30.9,
AL,Black town,92.3,6.3,0,0,0,41071,90,12.7,
AL,Blountsville town,87.3,0.7,1,0.4,15.3,30152,73.1,41.2,
AL,Blue Ridge CDP,94.5,2.7,0.7,0.9,1,96333,97.6,0.5,
